"","Country","Year","KEI Index"
"694","Serbia",2000,NA
"695","Sierra Leone",2000,NA
"696","Singapore",2000,8.57
"697","Slovak Republic",2000,7.03
"698","Slovenia",2000,7.9
"699","South Africa",2000,5.77
"700","Spain",2000,8.43
"701","Sri Lanka",2000,4.3
"702","Sudan",2000,1.35
"703","Swaziland",2000,3.49
"704","Sweden",2000,9.65
"705","Switzerland",2000,9.28
"706","Syrian Arab Republic",2000,2.85
"707","Taiwan",2000,NA
"708","Tajikistan",2000,3.18
"709","Tanzania",2000,2.02
"710","Thailand",2000,5.47
"711","Trinidad and Tobago",2000,5.61
"712","Turkey",2000,5.42
"713","Tunisia",2000,4.15
"714","Uganda",2000,2.16
"715","Ukraine",2000,5.65
"716","United Arab Emirates",2000,6.05
"717","United Kingdom",2000,8.89
"718","United States",2000,9.28
"719","Uruguay",2000,6.66
"720","Uzbekistan",2000,3.25
"721","Venezuela",2000,4.82
"722","Vietnam",2000,2.72
"723","Yemen",2000,1.98
"724","Zambia",2000,2.74
"725","Zimbabwe",2000,2.66
"726","Albania",1995,NA
"727","Algeria",1995,NA
"728","Angola",1995,NA
"729","Argentina",1995,NA
"730","Armenia",1995,NA
"731","Australia",1995,9.22
"732","Austria",1995,9.13
"733","Azerbaijan",1995,NA
"734","Bangladesh",1995,NA
"735","Bahrain",1995,NA
"736","Barbados",1995,NA
"737","Belarus",1995,NA
"738","Belgium",1995,8.99
"739","Benin",1995,NA
"740","Bolivia",1995,NA
"741","Bosnia Herzegovina",1995,NA
"742","Botswana",1995,NA
"743","Brazil",1995,NA
"744","Bulgaria",1995,6.64
"745","Burkina Faso",1995,NA
"746","Cambodia",1995,NA
"747","Cameroon",1995,NA
"748","Canada",1995,9.23
"749","Cape Verde",1995,NA
"750","Colombia",1995,NA
"751","Chile",1995,NA
"752","China",1995,NA
"753","Costa Rica",1995,NA
"754","Cote D'Ivoire",1995,NA
"755","Croatia",1995,NA
"756","Cuba",1995,NA
"757","Cyprus",1995,7.48
"758","Czech Republic",1995,7.53
"759","Denmark",1995,9.59
"760","Djibouti",1995,NA
"761","Dominica",1995,NA
"762","Dominican Republic",1995,NA
"763","Ecuador",1995,NA
"764","Egypt",1995,NA
"765","El Salvador",1995,NA
"766","Eritrea",1995,NA
"767","Estonia",1995,7.81
"768","Ethiopia",1995,NA
"769","Fiji",1995,NA
"770","Finland",1995,9.56
"771","France",1995,8.92
"772","Georgia",1995,NA
"773","Germany",1995,9.06
"774","Ghana",1995,NA
"775","Guinea",1995,NA
"776","Greece",1995,7.75
"777","Guatemala",1995,NA
"778","Guyana",1995,NA
"779","Haiti",1995,NA
"780","Honduras",1995,NA
"781","Hong Kong",1995,NA
"782","Hungary",1995,7.27
"783","Iceland",1995,NA
"784","India",1995,NA
"785","Indonesia",1995,NA
"786","Iran",1995,NA
"787","Ireland",1995,8.95
"788","Israel",1995,NA
"789","Italy",1995,8.12
"790","Jamaica",1995,NA
"791","Japan",1995,8.83
"792","Jordan",1995,NA
"793","Kazakhstan",1995,NA
"794","Kenya",1995,NA
"795","Korea",1995,NA
"796","Kuwait",1995,NA
"797","Kyrgyz Rep.",1995,NA
"798","Lao PDR",1995,NA
"799","Latvia",1995,6.5
"800","Lebanon",1995,NA
"801","Lesotho",1995,NA
"802","Lithuania",1995,6.34
"803","Luxembourg",1995,8.56
"804","Macedonia",1995,NA
"805","Madgascar",1995,NA
"806","Malawi",1995,NA
"807","Malaysia",1995,NA
"808","Mali",1995,NA
"809","Malta",1995,NA
"810","Mauritius",1995,NA
"811","Mauritania",1995,NA
"812","Mexico",1995,NA
"813","Nepal",1995,NA
"814","Mongolia",1995,NA
"815","Moldova",1995,NA
"816","Morocco",1995,NA
"817","Mozambique",1995,NA
"818","Mynamar",1995,NA
"819","Namibia",1995,NA
"820","Netherlands",1995,9.49
"821","New Zealand",1995,9.37
"822","Nicaragua",1995,NA
"823","Nigeria",1995,NA
"824","Norway",1995,9.49
"825","Oman",1995,4.93
"826","Pakistan",1995,NA
"827","Panama",1995,NA
"828","Paraguay",1995,NA
"829","Peru",1995,4.93
"830","Philippines",1995,NA
"831","Poland",1995,6.69
"832","Portugal",1995,7.87
"833","Qatar",1995,NA
"834","Romania",1995,5.48
"835","Russian Federation",1995,NA
"836","Rwanda",1995,1.82
"837","Saudi Arabia",1995,NA
"838","Senegal",1995,NA
"839","Serbia",1995,NA
"840","Sierra Leone",1995,NA
"841","Singapore",1995,NA
"842","Slovak Republic",1995,6.94
"843","Slovenia",1995,8.01
"844","South Africa",1995,NA
"845","Spain",1995,8.27
"846","Sri Lanka",1995,NA
"847","Sudan",1995,NA
"848","Swaziland",1995,NA
"849","Sweden",1995,9.47
"850","Switzerland",1995,9.4
"851","Syrian Arab Republic",1995,NA
"852","Taiwan",1995,NA
"853","Tajikistan",1995,NA
"854","Tanzania",1995,2.85
"855","Thailand",1995,NA
"856","Trinidad and Tobago",1995,NA
"857","Turkey",1995,5.12
"858","Tunisia",1995,NA
"859","Uganda",1995,NA
"860","Ukraine",1995,NA
"861","United Arab Emirates",1995,NA
"862","United Kingdom",1995,9.38
"863","United States",1995,9.51
"864","Uruguay",1995,NA
"865","Uzbekistan",1995,4.78
"866","Venezuela",1995,5.21
"867","Vietnam",1995,NA
"868","Yemen",1995,NA
"869","Zambia",1995,NA
"870","Zimbabwe",1995,NA
